Physical_activity,free_programs,"3. In the past year have you visited a library branch, accessed the library online or contacted the library by telephone?",frequency_internet,participation_volunteer,TTC,Walk,Drive,Cycle,Taxi,Community program,Wheel-Trans,Rides from others,Frequently_use_TTC,Other services,Driving is faster,Prefer driving,Not affordable,Distance,Stations not accessible,Vehicles not accessible,Crowded,Announcement hard to hear,Not safe,Major repairs,Accessible modification,No,difficulty,10. Which term(s) do you prefer when referring to people aged 65 and older? [Elders],10. Which term(s) do you prefer when referring to people aged 65 and older? [Mature Adults],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Adults],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Persons],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Residents],10. Which term(s) do you prefer when referring to people aged 65 and older? [Older Torontonians],10. Which term(s) do you prefer when referring to people aged 65 and older? [Senior Citizens],10. Which term(s) do you prefer when referring to people aged 65 and older? [Seniors],Accessibility,Civic Engagement,Communication and Information,Food Access,Health Care and Home Care Services,Housing Affordability and Availability,Income and Employment,Recreation and Community Services,Respect and Social Inclusion,Safety and Security,Transportation Issues,City of Toronto website,Internet search engine,Calling 311,Calling 211,Local ward councillor,Service directory,"Posters, etc.",Workers in community,Faith group,Word of mouth,people_help,14. What are the first three characters of your postal code?,employment_status,gender,16. What is your sex/gender? [other],Understand spoken English,Speak,Read,None,service_language,18. In what language(s) would you feel most comfortable to receive services? [other],age_group
At least once a month,No,No,At least a few times a week,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,No,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,m9c,Retired,Female,NA,1,1,1,NA,English,NA,85 years or older
At least a few times each week,Yes,Yes,At least once a day,Never,1,1,NA,NA,NA,1,1,NA,No,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,Yes,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,Yes,i3t,Retired,Female,NA,1,1,1,NA,English,NA,70-74 years
At least a few times each week,No,Yes,At least once a day,Never,1,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,No,L,Retired,Female,NA,1,1,1,NA,Other,English,70-74 years
At least once a day,No,No,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L0G,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA
At least once a day,No,No,At least once a day,At least once a week,NA,1,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,Yes,L0J,Retired,Female,NA,NA,1,NA,NA,NA,NA,70-74 years
At least once a day,No,Yes,At least once a day,At least once a week,NA,1,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,l1e,Retired,Male,NA,1,1,1,NA,English,NA,60-64 years
At least once a week,No,No,At least once a day,At least once a week,1,NA,NA,NA,1,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,l1g,Retired,Female,NA,1,1,1,NA,English,NA,70-74 years
At least once a day,Yes,No,At least once a day,At least once a day,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,1,Yes,L1G,Retired,Female,NA,1,1,1,NA,English,NA,65-69 years
At least once a day,No,Yes,At least once a day,Never,1,1,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,1,NA,NA,Yes,l1h,Employed full-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
At least once a day,No,No,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,Yes,L1S,Employed full-time,Male,NA,NA,1,1,NA,English,NA,70-74 years
At least a few times each week,Yes,Yes,At least once a day,At least once a day,1,NA,1,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,Yes,L1S,Retired,Male,NA,1,1,1,NA,Dari,NA,70-74 years
At least a few times each week,No,No,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L1V,Retired,Male,NA,1,1,1,NA,English,NA,70-74 years
At least once a day,No,Yes,At least once a day,At least once a day,1,1,1,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,Yes,l1v,Retired,Female,NA,1,1,1,NA,NA,NA,60-64 years
At least a few times each week,No,Yes,At least once a week,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,Yes,L1W,Employed full-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
At least once a week,Yes,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,Yes,L1X,Employed full-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
Never,No,No,At least once a day,NA,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L1X,Retired,Female,NA,NA,1,NA,NA,English,NA,65-69 years
At least once a day,No,Yes,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,L2T,Employed part-time,Male,NA,1,1,1,NA,Chinese (Cantonese),NA,70-74 years
At least a few times each week,No,Yes,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L3P,Retired,Male,NA,1,1,1,NA,English,NA,60-64 years
At least once a month,Yes,Yes,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,Yes,L3R,Employed full-time,Female,NA,1,NA,NA,NA,Chinese (Cantonese),NA,55-59 years
At least a few times each week,Yes,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,No,L3R,NA,Male,NA,NA,NA,1,NA,Chinese (Cantonese),NA,NA
At least a few times each week,No,No,At least once a day,At least once a week,NA,1,1,NA,NA,NA,NA,NA,No,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,Yes,L3R,Retired,Female,NA,1,1,1,NA,Chinese (Cantonese),NA,60-64 years
At least once a day,No,No,At least once a day,At least once a week,1,NA,NA,NA,NA,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,No,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,Yes,L3R,Employed full-time,Female,NA,1,1,1,NA,Tagalog,NA,65-69 years
At least once a week,No,Yes,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,L3R,Retired,Male,NA,1,1,1,NA,English,NA,65-69 years
At least once a day,No,Yes,At least a few times a week,At least once a week,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,Yes,L3R,Employed part-time,NA,NA,NA,NA,NA,1,Chinese (Cantonese),NA,55-59 years
Never,NA,Yes,Never,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Yes,L3R,Retired,Male,NA,1,1,1,NA,NA,NA,65-69 years
At least once a week,No,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L3S,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA
At least a few times each week,Yes,Yes,At least once a day,Never,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Yes,L3S,Unable to work for health or other reasons,Female,NA,1,NA,NA,NA,NA,NA,NA
At least once a day,No,No,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,l3s,Retired,Female,NA,NA,1,1,NA,English,NA,70-74 years
At least once a day,No,Yes,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,l3s,"Unemployed, looking for work",Male,NA,1,1,1,NA,English,NA,60-64 years
At least a few times each week,No,Yes,At least once a day,At least once a month,1,1,1,NA,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,1,1,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,L3T,Employed full-time,Female,NA,1,NA,NA,NA,English,NA,Less than 54 years
At least a few times each week,No,Yes,At least once a day,At least once a month,1,1,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,Yes,L3T,Retired,Female,NA,1,1,1,NA,English,NA,60-64 years
At least a few times each week,No,Yes,Never,At least once a week,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Yes,L3T,Retired,Female,NA,NA,1,1,NA,Chinese (Cantonese),NA,NA
At least a few times each week,Yes,No,At least once a day,At least a few times a week,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,Yes,L3T,Retired,Male,NA,NA,1,1,NA,Chinese (Cantonese),NA,70-74 years
At least once a day,Yes,Yes,At least once a day,At least once a day,1,1,1,NA,NA,NA,NA,NA,No,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,Yes,L3T,Employed full-time,Female,NA,1,1,1,NA,English,NA,60-64 years
At least once a day,Yes,Yes,At least once a day,At least once a week,1,NA,1,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L3X,Employed full-time,Female,NA,1,1,1,NA,English,NA,60-64 years
At least once a week,No,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,Yes,L3Y,Unable to work for health or other reasons,Female,NA,NA,1,1,NA,English,NA,60-64 years
At least a few times each week,Yes,Yes,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,1,Yes,l4b,Employed full-time,Female,NA,NA,1,1,NA,Russian,NA,Less than 54 years
At least once a day,Yes,No,At least a few times a week,Never,NA,NA,NA,NA,NA,NA,NA,1,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L4c,Retired,Female,NA,NA,1,1,NA,English,NA,70-74 years
At least once a day,Yes,No,At least once a day,At least once a week,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L4C,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA
At least once a day,No,No,At least once a day,Never,NA,1,1,NA,NA,NA,NA,1,No,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,No,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,Yes,L4C,Employed full-time,Female,NA,1,1,1,NA,English,NA,55-59 years
At least a few times each week,No,Yes,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,Yes,L4C,Employed full-time,Male,NA,1,1,1,NA,English,NA,70-74 years
At least once a week,Yes,Yes,At least once a day,At least once a week,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,L4E,Retired,Male,NA,1,1,1,NA,Korean,NA,75-79 years
At least once a day,No,No,At least once a day,At least once a month,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,L4E,Employed full-time,Male,NA,1,NA,NA,NA,Chinese (Cantonese),NA,60-64 years
At least once a day,No,No,Never,At least once a week,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,No,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,L4G,Retired,Female,NA,1,1,1,NA,English,NA,75-79 years
At least once a day,No,No,At least once a day,Never,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,No,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,L4H,Retired,Female,NA,1,NA,NA,NA,Other,ITALIAN,85 years or older
At least once a month,No,Yes,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,No,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,Yes,L4H,Employed part-time,Female,NA,1,1,1,NA,English,NA,60-64 years
At least once a day,No,No,At least once a day,At least once a week,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,l4h,Retired,Female,NA,1,1,1,NA,French,NA,60-64 years
At least once a day,No,Yes,At least once a day,Never,1,1,1,NA,1,NA,NA,NA,No,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,Yes,1,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,1,NA,1,Yes,L4H,Employed part-time,Female,NA,1,1,1,NA,English,NA,Less than 54 years
At least once a day,No,No,At least once a day,Never,NA,NA,1,NA,NA,NA,NA,NA,No,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,Yes,l4j,Employed full-time,Male,NA,1,1,1,NA,English,NA,Less than 54 years
At least a few times each week,No,Yes,At least once a day,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Yes,L4J,Retired,Female,NA,NA,1,1,NA,English,NA,80-84 years
